000   0.0000 0.62411 +0.77873 Greenwich
001   0.15   0.629   +0.774   Crowborough 
002   0.62   0.622   +0.781   Rayleigh 
003   3.90   0.725   +0.687   Montpellier
004   1.4625 0.72520 +0.68627 Toulouse
005   2.2313 0.65989 +0.74887 Meudon
006   2.1258 0.75107 +0.65811 Fabra Observatory, Barcelona
007   2.3371 0.65947 +0.74922 Paris
008   3.0355 0.80172 +0.59578 Algiers-Bouzareah
009   7.4417 0.6838  +0.7272  Berne-Uecht
010   6.9267 0.72368 +0.68811 Caussols
011   8.80   0.680   +0.732   Wetzikon 
012   4.358210.633333+0.771306Uccle
013   4.4840 0.61481 +0.78604 Leiden
014   5.3940 0.72888 +0.68237 Marseilles
015   5.1292 0.61576 +0.78529 Utrecht
016   5.9893 0.68006 +0.73076 Besancon
017   6.8496 0.64193 +0.76431 Hoher List
018   6.7612 0.62779 +0.77578 Dusseldorf-Bilk
019   6.9575 0.68331 +0.72779 Neuchatel
020   7.3004 0.72391 +0.68767 Nice
021   8.3855 0.65701 +0.75138 Karlsruhe
022   7.7748 0.70790 +0.70409 Pino Torinese
023   8.2625 0.64299 +0.76335 Wiesbaden
024   8.7216 0.65211 +0.75570 Heidelberg-Konigstuhl
025   9.1975 0.66019 +0.74865 Stuttgart
026   7.4648 0.68489 +0.72640 Berne-Zimmerwald
027   9.1912 0.70254 +0.70929 Milan
028   9.9363 0.64686 +0.76009 Wurzburg
029  10.2406 0.59640 +0.80000 Hamburg-Bergedorf
030  11.2554 0.72350 +0.68806 Arcetri Observatory, Florence
031  11.1925 0.63905 +0.76672 Sonneberg
032  11.5842 0.63161 +0.77272 Jena
033  11.7125 0.63089 +0.77334 Karl Schwarzschild Observatory, Tautenburg
034  12.4523 0.74519 +0.66466 Monte Mario Observatory, Rome
035  12.5779 0.56501 +0.82232 Copenhagen
036  12.6514 0.74726 +0.66241 Castel Gandolfo
037  13.7333 0.73660 +0.67416 Collurania Observatory, Teramo
038  13.7704 0.70033 +0.71144 Trieste
039  13.1874 0.56485 +0.82243 Lund
040  13.7298 0.63019 +0.77387 Lohrmann Institute, Dresden
041  11.380830.679862+0.731012Innsbruck
042  13.0661 0.61169 +0.78847 Potsdam
043  11.5286 0.69770 +0.71422 Asiago Astrophysical Observatory, Padua
044  14.2559 0.75738 +0.65082 Capodimonte Observatory, Naples
045  16.3390 0.66739 +0.74227 Vienna (since 1879)
046  14.2881 0.65922 +0.74965 Klet Observatory, Ceske Budejovice
047  16.8782 0.61146 +0.78864 Poznan
048  15.840800.641709+0.764432Hradec Kralove
049  17.6067 0.5088  +0.8580  Uppsala-Kvistaberg
050  18.0582 0.51118 +0.85660 Stockholm (before 1931)
051  18.4766 0.83055 -0.55508 Cape
052  18.3083 0.51224 +0.85597 Stockholm-Saltsjobaden
053  18.9642 0.67688 +0.73373 Konkoly Observatory, Budapest (since 1934)
054  11.6654 0.56595 +0.82169 Brorfelde
055  19.9596 0.64321 +0.76316 Cracow
056  20.2450 0.65501 +0.75346 Skalnate Pleso
057  20.5133 0.71074 +0.70116 Belgrade
058  20.4957 0.57895 +0.81263 Kaliningrad 
059  20.2201 0.65500 +0.75364 Lomnicky Stit
060  21.4200 0.61572 +0.78535 Warsaw-Ostrowik
061  22.30   0.661   +0.746   Uzhgorod
062  22.2293 0.49440 +0.86632 Turku 
063  22.4450 0.49496 +0.86601 Turku-Tuorla
064  22.75   0.495   +0.865   Turku-Kevola
065  12.63   0.673   +0.739   Traunstein 
066  23.7169 0.78932 +0.61195 Athens
067  24.0297 0.64632 +0.76058 Lvov University Observatory 
068  24.0142 0.64627 +0.76062 Lvov Polytechnic Institute
069  24.41   0.549   +0.833   Baldone, near Riga
070  25.2865 0.57940 +0.81233 Vilnius (before 1939)
071  24.72   0.748   +0.661   Smolyan
072   7.17   0.629   +0.774   Scheuren Observatory 
073  26.0967 0.71549 +0.69630 Bucharest
074  26.4058 0.87518 -0.48263 Boyden Observatory, Bloemfontein
075  26.7216 0.52557 +0.84791 Tartu
076  27.8768 0.90127 -0.43225 Johannesburg-Hartbeespoort
077  28.0292 0.89819 -0.43876 Yale-Columbia Station, Johannesburg
078  28.0750 0.89824 -0.43868 Johannesburg
079  28.2288 0.90120 -0.43251 Radcliffe Observatory, Pretoria
080  28.9667 0.75566 +0.65278 Istanbul
081  27.8768 0.90127 -0.43225 Leiden Station, Johannesburg
082  15.63   0.668   +0.741   St. Polten 
083  30.5056 0.63918 +0.76651 Golosseevo-Kiev
084  30.3274 0.50471 +0.86041 Pulkovo
085  30.5023 0.63800 +0.76749 Kiev
086  30.7582 0.68987 +0.72152 Odessa
087  31.3411 0.86799 +0.49495 Helwan
088  31.8250 0.86741 +0.49608 Kottomia
089  31.9747 0.68359 +0.72743 Nikolaev
090   8.25   0.645   +0.762   Mainz 
091   4.209190.703630+0.708287Observatoire de Nurol, Aurec sur Loire 
092  18.5546 0.60177 +0.79601 Torun-Piwnice
093  20.3647 0.3537  +0.9322  Skibotn
094  33.9974 0.71565 +0.69620 Crimea-Simeis
095  34.0159 0.71407 +0.69788 Crimea-Nauchnij
096   9.4283 0.69967 +0.71215 Merate
097  34.7625 0.86165 +0.50608 Wise Observatory, Mitzpeh Ramon
098  11.5688 0.69790 +0.71410 Asiago Observatory, Cima Ekar
099  25.53   0.483   +0.873   Lahti 
100  24.13   0.462   +0.884   Ahtari 
101  36.2322 0.64403 +0.76246 Kharkov
102  36.59   0.565   +0.823   Zvenigorod
103  14.47   0.694   +0.715   Ljubljana
104  10.8042 0.71985 +0.69202 San Marcello Pistoiese 
105  37.5706 0.56403 +0.82302 Moscow
106  14.0736 0.69661 +0.71520 Crni Vrh 
107  11.0030 0.70998 +0.70186 Cavezzo 
108  11.0278 0.72367 +0.68784 Montelupo 
109   3.0705 0.80241 +0.59481 Algiers-Kouba
110  39.15   0.544   +0.835   Rostov
111  10.9721 0.72439 +0.68710 Piazzano Observatory, Florence
112  10.9039 0.70232 +0.70950 Pleiade Observatory, Verona
113  13.0166 0.63502 +0.77001 Volkssternwarte Drebach, Schoenbrunn
114  41.4277 0.72489 +0.68702 Engelhardt Observatory, Zelenchukskaya Station
115  41.4416 0.72492 +0.68699 Zelenchukskaya
116  11.5958 0.66893 +0.74094 Giesing 
117  11.5385 0.66897 +0.74092 Sendling 
118  17.2740 0.66558 +0.74394 Astronomical and Geophysical Observatory, Modra
119  42.8253 0.74729 +0.66264 Abastuman
120  13.7261 0.70489 +0.70699 Visnjan
121  36.9369 0.64883 +0.75842 Kharkov University, Chuguevskaya Station
122   3.5035 0.72017 +0.69176 Pises Observatory
123  44.2917 0.76352 +0.64398 Byurakan
124   2.2550 0.72534 +0.68612 Castres 
125  44.90   0.739   +0.671   Tbilisi
126   9.7903 0.71893 +0.69283 Monte Viseggi 
127   6.9794 0.6339  +0.7709  Bornheim 
128  46.10   0.626   +0.779   Saratov
129  45.88   0.776   +0.629   Ordubad
130  10.240700.700125+0.711807Lumezzane 
131   4.725  0.7123  +0.6996  Observatoire de l'Ardeche
132   5.242  0.7192  +0.6926  Bedoin 
133   5.0906 0.72819 +0.68309 Les Tardieux 
134  11.4842 0.63160 +0.77277 Groszschwabhausen
135  49.1210 0.56353 +0.82334 Kasan
136  48.8156 0.56282 +0.82383 Engelhardt Observatory, Kasan
137  34.8147 0.84821 +0.52790 Givatayim Observatory
138   7.5717 0.67550 +0.73494 Village-Neuf
139   7.1108 0.72526 +0.68618 Antibes
140   3.6294 0.69945 +0.71241 Augerolles
141   7.3672 0.65646 +0.75189 Hottviller
142   7.1874 0.62156 +0.78075 Sinsen 
143   9.0250 0.6930  +0.7186  Gnosca 
144   1.6660 0.65549 +0.75268 Bray et Lu 
145   4.5597 0.62734 +0.77614 's-Gravenwezel 
146  10.6673 0.71715 +0.69487 Frignano 
147   8.573910.700430+0.711392Osservatorio Astronomico di Suno
148   2.0375 0.72481 +0.68667 Guitalens 
149   4.2236 0.65403 +0.75396 Beine-Nauroy 
150   2.1572 0.65806 +0.75045 Maisons Laffitte 
151   8.7440 0.67719 +0.73346 Eschenberg Observatory, Winterthur
152  25.5633 0.57036 +0.81868 Moletai Astronomical Observatory
153   9.1747 0.66080 +0.74814 Stuttgart-Hoffeld 
154  12.1043 0.68923 +0.72250 Cortina 
155  10.1971 0.55864 +0.82664 Ole Romer Observatory, Aarhus
156  15.0858 0.79431 +0.60549 Catania Astrophysical Observatory
157  12.8117 0.74166 +0.66864 Frasso Sabino
158   7.6033 0.69871 +0.71333 Promiod
159  10.5153 0.72065 +0.69115 Monte Agliale
160  10.8833 0.7225  +0.6890  Castelmartini 
161   8.1605 0.70725 +0.70467 Cerrina Tololo Observatory 
162  15.8083 0.76000 +0.64794 Potenza 
163   6.1492 0.65017 +0.75731 Roeser Observatory, Luxembourg
164   6.8861 0.66631 +0.74325 St. Michel sur Meurthe 
165   1.7553 0.74984 +0.65946 Piera Observatory, Barcelona 
166  16.0117 0.63730 +0.76812 Upice 
167   8.5727 0.67662 +0.73398 Bulach Observatory 
168  59.50   0.546   +0.835   Kourovskaya
169   8.4016 0.70737 +0.70453 Airali Observatory 
170   1.9206 0.75217 +0.65711 Observatorio de Begues 
171  14.4697 0.81089 +0.58327 Flarestar Observatory, San Gwann 
172   7.0364 0.68593 +0.72539 Onnens 
173  55.5061 0.93464 -0.35447 St. Clotilde, Reunion 
174  25.5131 0.46536 +0.88219 Nyrola Observatory, Jyvaskyla
175   7.6083 0.6932  +0.7188  F.-X. Bagnoud Observatory, St-Luc
176   2.8225 0.77098 +0.63475 Observatori Astronomic de Consell
177   3.9414 0.72477 +0.68669 Le Cres 
178   6.1344 0.69423 +0.71745 Collonges 
179   9.0175 0.69694 +0.71507 Monte Generoso 
180   3.9519 0.72571 +0.68570 Mauguio 
181  55.4100 0.93288 -0.35941 Observatoire des Makes, Saint-Louis
182  55.2586 0.93394 -0.35634 St. Paul, Reunion 
183  41.4200 0.72496 +0.68695 Starlab Observatory, Karachay-Cherkessia
